source,target,weight,start,end
E015,E083,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E015,E084,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E015,E086,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E015,E087,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E016,E044,1,1886-09-31T00:00:00,1886-09-31T00:00:00
E016,E054,1,1886-09-31T00:00:00,1886-09-31T00:00:00
E016,E055,1,1886-09-31T00:00:00,1886-09-31T00:00:00
E016,E056,1,1886-09-31T00:00:00,1886-09-31T00:00:00
E017,E034,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E017,E075,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E017,E088,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E017,E089,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E017,E090,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E017,E091,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E017,E092,1,1886-10-04T00:00:00,1886-10-04T00:00:00
E018,E032,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E018,E035,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E018,E039,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E018,E050,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E018,E059,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E018,E080,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E018,E081,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E019,E024,1,1886-09-27T00:00:00,1886-09-27T00:00:00
E019,E039,1,1886-09-27T00:00:00,1886-09-27T00:00:00
E020,E024,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E020,E026,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E020,E032,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E020,E039,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E020,E047,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E020,E058,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E020,E069,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E021,E032,1,1886-09-16T00:00:00,1886-09-16T00:00:00
E021,E039,1,1886-09-16T00:00:00,1886-09-16T00:00:00
E021,E040,1,1886-09-16T00:00:00,1886-09-16T00:00:00
E021,E041,1,1886-09-16T00:00:00,1886-09-16T00:00:00
E021,E042,1,1886-09-16T00:00:00,1886-09-16T00:00:00
E021,E058,1,1886-09-16T00:00:00,1886-09-16T00:00:00
E021,E071,1,1886-09-16T00:00:00,1886-09-16T00:00:00
E021,E079,1,1886-09-16T00:00:00,1886-09-16T00:00:00
E022,E085,1,1886-09-28T00:00:00,1886-09-28T00:00:00
E023,E039,1,1886-09-20T00:00:00,1886-09-20T00:00:00
E024,E025,1,1886-09-23T00:00:00,1886-09-23T00:00:00
E024,E026,2,1886-09-14T00:00:00,1886-09-23T00:00:00
E024,E031,2,1886-09-25T00:00:00,1886-09-26T00:00:00
E024,E032,2,1886-09-14T00:00:00,1886-09-23T00:00:00
E024,E034,1,1886-10-02T00:00:00,1886-10-02T00:00:00
E024,E038,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E024,E039,5,1886-09-14T00:00:00,1886-10-02T00:00:00
E024,E046,1,1886-10-02T00:00:00,1886-10-02T00:00:00
E024,E047,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E024,E053,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E024,E058,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E024,E059,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E024,E063,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E024,E064,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E024,E065,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E024,E066,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E024,E067,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E024,E068,1,1886-10-02T00:00:00,1886-10-02T00:00:00
E024,E069,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E024,E070,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E024,E074,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E024,E075,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E024,E076,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E024,E077,1,1886-09-26T00:00:00,1886-09-26T00:00:00
