Source,Target,Type,Id,Label,timeset,Weight,Source_Type,Target_Type
E010,E098,Undirected,348,,<[-2606256000000.0]>,1,,
E010,E099,Undirected,349,,<[-2606256000000.0]>,1,,
E010,E100,Undirected,350,,<[-2606256000000.0]>,1,,
E010,E101,Undirected,351,,<[-2606256000000.0]>,1,,
E010,E102,Undirected,352,,<[-2606256000000.0]>,1,,
E010,E110,Undirected,353,,<[-2606256000000.0]>,1,,
E010,E111,Undirected,354,,<[-2606256000000.0]>,1,,
E010,E112,Undirected,355,,<[-2606256000000.0]>,1,,
E010,E113,Undirected,356,,<[-2606256000000.0]>,1,,
E010,E116,Undirected,357,,<[-2606256000000.0]>,1,,
E010,E117,Undirected,358,,<[-2606256000000.0]>,1,,
E010,E124,Undirected,359,,<[-2606256000000.0]>,1,,
E010,E125,Undirected,360,,<[-2606256000000.0]>,1,,
E010,E126,Undirected,361,,<[-2606256000000.0]>,1,,
E010,E137,Undirected,362,,<[-2606256000000.0]>,1,,
E010,E138,Undirected,363,,<[-2606256000000.0]>,1,,
E010,E139,Undirected,364,,<[-2606256000000.0]>,1,,
E010,E140,Undirected,365,,<[-2606256000000.0]>,1,,
E010,E147,Undirected,366,,<[-2606256000000.0]>,1,,
E010,E148,Undirected,367,,<[-2606256000000.0]>,1,,
E011,E012,Undirected,368,,<[-2628547200000.0]>,3,,
E011,E043,Undirected,369,,<[-2628547200000.0]>,1,,
E011,E065,Undirected,370,,<[-2615328000000.0]>,1,,
E011,E066,Undirected,371,,<[-2628547200000.0]>,1,,
E011,E067,Undirected,372,,<[-2628547200000.0]>,1,,
E011,E103,Undirected,373,,<[-2628028800000.0]>,1,,
E011,E128,Undirected,374,,<[-2615328000000.0]>,1,,
E011,E132,Undirected,375,,<[-2615328000000.0]>,1,,
E011,E145,Undirected,376,,<[-2615328000000.0]>,1,,
E012,E014,Undirected,377,,<[-2608070400000.0]>,1,,
E012,E019,Undirected,378,,<[-2616883200000.0]>,1,,
E012,E020,Undirected,379,,<[-2627769600000.0]>,1,,
E012,E021,Undirected,380,,<[-2627164800000.0]>,1,,
E012,E023,Undirected,381,,<[-2617056000000.0]>,1,,
E012,E024,Undirected,382,,<[-2615414400000.0]>,1,,
E012,E025,Undirected,383,,<[-2618352000000.0]>,5,,
E012,E035,Undirected,384,,<[-2627164800000.0]>,1,,
E012,E036,Undirected,385,,<[-2617056000000.0]>,1,,
E012,E037,Undirected,386,,<[-2616883200000.0]>,1,,
E012,E043,Undirected,387,,<[-2628547200000.0]>,1,,
E012,E044,Undirected,388,,<[-2617056000000.0]>,1,,
E012,E045,Undirected,389,,<[-2614982400000.0]>,1,,
E012,E049,Undirected,390,,<[-2617056000000.0]>,1,,
E012,E057,Undirected,391,,<[-2608070400000.0]>,1,,
E012,E058,Undirected,392,,<[-2608070400000.0]>,1,,
E012,E059,Undirected,393,,<[-2608070400000.0]>,1,,
E012,E060,Undirected,394,,<[-2607120000000.0]>,1,,
E012,E064,Undirected,395,,<[-2616796800000.0]>,1,,
E012,E065,Undirected,396,,<[-2615328000000.0]>,1,,
E012,E066,Undirected,397,,<[-2628547200000.0]>,1,,
E012,E067,Undirected,398,,<[-2628547200000.0]>,1,,
E012,E070,Undirected,399,,<[-2617056000000.0]>,1,,
E012,E073,Undirected,400,,<[-2608070400000.0]>,1,,
E012,E076,Undirected,401,,<[-2617056000000.0]>,1,,
E012,E078,Undirected,402,,<[-2617056000000.0]>,2,,
E012,E083,Undirected,403,,<[-2616883200000.0]>,1,,
E012,E086,Undirected,404,,<[-2618179200000.0]>,1,,
E012,E087,Undirected,405,,<[-2617056000000.0]>,1,,
E012,E088,Undirected,406,,<[-2617056000000.0]>,2,,
E012,E089,Undirected,407,,<[-2616883200000.0]>,1,,
E012,E090,Undirected,408,,<[-2616883200000.0]>,1,,
E012,E091,Undirected,409,,<[-2616883200000.0]>,2,,
E012,E103,Undirected,410,,<[-2628028800000.0]>,1,,
E012,E107,Undirected,411,,<[-2617056000000.0]>,1,,
E012,E109,Undirected,412,,<[-2607120000000.0]>,1,,
E012,E118,Undirected,413,,<[-2616883200000.0]>,1,,
E012,E119,Undirected,414,,<[-2616796800000.0]>,1,,
E012,E120,Undirected,415,,<[-2616796800000.0]>,1,,
E012,E122,Undirected,416,,<[-2616796800000.0]>,1,,
E012,E128,Undirected,417,,<[-2615328000000.0]>,1,,
